step,loss
16470,0.11
16480,0.062
16490,0.043
16500,0.037
16510,0.054
16520,0.067
16530,0.076
16540,0.037
16550,0.073
16560,0.059
16570,0.08
16580,0.058
16590,0.078
16600,0.054
16610,0.074
16620,0.067
16630,0.068
16640,0.041
16650,0.061
16660,0.077
16670,0.047
16680,0.092
16690,0.037
16700,0.092
16710,0.042
16720,0.063
16730,0.053
16740,0.067
16750,0.039
16760,0.049
16770,0.051
16780,0.045
16790,0.069
16800,0.056
16810,0.061
16820,0.051
16830,0.095
16840,0.113
16850,0.064
16860,0.087
16870,0.038
16880,0.076
16890,0.104
16900,0.058
16910,0.055
16920,0.044
16930,0.11
16940,0.055
16950,0.048
16960,0.031
16970,0.077
16980,0.047
16990,0.05
17000,0.061
17010,0.06
17020,0.05
17030,0.055
17040,0.048
17050,0.073
17060,0.072
17070,0.046
17080,0.053
17090,0.069
17100,0.062
17110,0.052
17120,0.039
17130,0.053
17140,0.052
17150,0.055
17160,0.058
17170,0.123
17180,0.056
17190,0.047
17200,0.052
17210,0.113
17220,0.096
17230,0.046
17240,0.051
17250,0.04
17260,0.048
17270,0.075
17280,0.041
17290,0.056
17300,0.059
17310,0.054
17320,0.068
17330,0.057
17340,0.047
17350,0.049
17360,0.042
17370,0.041
17380,0.078
17390,0.05
17400,0.039
17410,0.055
17420,0.057
17430,0.061
17440,0.071
17450,0.031
17460,0.043
17470,0.051
17480,0.057
17490,0.06
17500,0.054
17510,0.043
17520,0.065
17530,0.056
17540,0.088
17550,0.069
17560,0.116
17570,0.062
17580,0.08
17590,0.083
17600,0.081
17610,0.037
17620,0.068
17630,0.082
17640,0.057
17650,0.047
17660,0.044
17670,0.082
17680,0.068
17690,0.097
17700,0.069
17710,0.078
17720,0.046
17730,0.073
17740,0.046
17750,0.052
17760,0.076
17770,0.051
17780,0.072
17790,0.072
17800,0.052
17810,0.051
17820,0.053
17830,0.04
17840,0.052
17850,0.033
17860,0.08
17870,0.037
17880,0.049
17890,0.059
17900,0.057
17910,0.062
17920,0.057
17930,0.043
17940,0.072
17950,0.061
17960,0.077
17970,0.055
17980,0.047
17990,0.075
18000,0.043
18010,0.053
18020,0.065
18030,0.055
18040,0.063
18050,0.051
18060,0.03
18070,0.054
18080,0.053
18090,0.086
18100,0.029
18110,0.056
18120,0.038
18130,0.03
18140,0.069
18150,0.047
18160,0.034
18170,0.049
18180,0.064
18190,0.048
18200,0.058
18210,0.04
18220,0.04
18230,0.039
18240,0.069
18250,0.048
18260,0.052
18270,0.098
18280,0.049
18290,0.053
18300,0.042
18310,0.076
18320,0.041
18330,0.064
18340,0.058
18350,0.036
18360,0.042
18370,0.05
18380,0.064
18390,0.058
18400,0.041
18410,0.05
18420,0.078
18430,0.052
18440,0.035
18450,0.097
18460,0.045
18470,0.066
18480,0.058
18490,0.058
18500,0.075
18510,0.089
18520,0.042
18530,0.057
18540,0.047
18550,0.045
18560,0.113
18570,0.084
18580,0.059
18590,0.063
18600,0.037
18610,0.043
18620,0.049
18630,0.054
18640,0.05
18650,0.043
18660,0.045
18670,0.06
18680,0.062
18690,0.074
18700,0.082
18710,0.088
18720,0.045
18730,0.038
18740,0.039
18750,0.076
18760,0.047
18770,0.069
18780,0.038
18790,0.036
18800,0.042
18810,0.153
18820,0.044
18830,0.062
18840,0.049
18850,0.039
18860,0.033
18870,0.044
18880,0.053
18890,0.061
18900,0.065
18910,0.057
18920,0.044
18930,0.059
18940,0.028
18950,0.089
18960,0.057
18970,0.034
18980,0.045
18990,0.067
19000,0.037
19010,0.081
19020,0.045
19030,0.044
19040,0.07
19050,0.06
19060,0.051
19070,0.04
19080,0.046
19090,0.067
19100,0.07
19110,0.067
19120,0.058
19130,0.057
19140,0.045
19150,0.067
19160,0.04
19170,0.098
19180,0.048
19190,0.047
19200,0.051
19210,0.085
19220,0.056
19230,0.056
19240,0.053
19250,0.064
19260,0.083
19270,0.039
19280,0.044
19290,0.048
19300,0.039
19310,0.047
19320,0.048
19330,0.092
19340,0.052
19350,0.05
19360,0.042
19370,0.079
19380,0.057
19390,0.038
19400,0.047
19410,0.051
19420,0.037
19430,0.055
19440,0.037
19450,0.061
19460,0.05
19470,0.047
19480,0.048
19490,0.047
19500,0.051
19510,0.05
19520,0.06
19530,0.068
19540,0.037
19550,0.09
19560,0.075
19570,0.093
19580,0.047
19590,0.092
19600,0.068
19610,0.053
19620,0.057
19630,0.059
19640,0.049
19650,0.041
19660,0.052
19670,0.047
19680,0.055
19690,0.044
19700,0.049
19710,0.05
19720,0.051
19730,0.087
